2.342,12.4
2.376,11.8
2.409,12.4
2.443,15.3
2.476,16.6
2.509,18.7
2.543,18.2
2.576,18.7
2.610,20.0
2.643,20.2
2.677,20.1
2.710,20.0
2.744,20.5
2.777,20.1
2.811,21.4
2.844,21.6
2.877,21.0
2.911,20.3
2.944,18.8
2.978,16.4
3.011,15.4
3.045,14.8
3.078,14.5
3.112,12.5
3.145,12.2
3.179,12.1
3.212,11.6
3.246,11.5
3.279,11.1
3.312,10.4
3.346,10.4
3.379,11.3
3.413,11.4
3.446,10.9
3.480,12.1
3.513,14.0
3.547,14.6
3.580,15.4
3.614,17.8
3.647,18.5
3.681,19.7
3.714,20.6
3.747,21.1
3.781,22.3
3.814,23.3
3.848,23.4
3.881,22.9
3.915,21.9
3.948,21.3
3.982,20.0
4.015,19.5
4.049,19.3
4.082,18.9
4.115,17.9
4.149,15.8
4.182,15.1
4.216,14.7
4.249,12.6
4.283,12.1
4.316,11.5
4.350,11.7
4.383,11.4
4.417,11.9
4.450,11.9
4.484,13.0
4.517,13.8
4.550,14.1
4.584,14.9
4.617,15.5
4.651,17.8
4.684,19.5
4.718,19.4
4.751,19.9
4.785,21.2
4.818,21.7
4.852,22.4
4.885,22.5
4.919,22.6
4.952,22.8
4.985,20.8
5.019,20.3
5.052,20.0
5.086,18.6
5.119,17.0
5.153,15.0
5.186,14.8
5.220,14.1
5.253,12.4
5.287,10.9
5.320,10.9
5.353,10.6
5.387,11.3
5.420,12.0
5.454,11.8
5.487,11.6
5.521,13.4
5.554,14.1
5.588,15.6
5.621,16.5
5.655,18.9
5.688,19.8
5.722,20.7
5.755,20.8
5.788,20.8
5.822,21.6
5.855,22.4
5.889,22.4
5.922,21.4
5.956,21.5
5.989,21.3
6.023,19.2
6.056,18.1
6.090,16.7
6.123,15.9
6.157,14.8
6.190,13.3
6.223,13.2
6.257,12.1
6.290,11.5
6.324,10.8
6.357,10.2
6.391,10.9
6.424,11.1
6.458,11.2
6.491,11.2
6.525,12.9
6.558,12.8
6.591,14.5
6.625,15.0
6.658,16.4
6.692,17.4
6.725,17.5
6.759,20.1
6.792,20.4
6.826,20.6
6.859,21.1
6.893,21.6
