Wavelength (nm),Blank,Sample 1,Sample 2,sample 3,Sample 4,Sample 5,Sample 6
488.0134277,0.01002137549,0.116372548,0.1075262129,0.100075461,0.09089888632,0.2271871716,0.2120314091
485.9995117,0.009928748943,0.1228487343,0.1112489477,0.1019941121,0.0929422006,0.2416051477,0.2151954919
483.9848633,0.01020379923,0.1289137006,0.113321133,0.1027988791,0.09380639344,0.2487291545,0.2207524627
482.0075073,0.01028399915,0.1360692382,0.11683736,0.1048884168,0.09635355324,0.262321949,0.2238222659
479.9911804,0.01040252484,0.1423830837,0.1209440455,0.1076116413,0.09935032576,0.27636832,0.2268763483
478.0121765,0.01063818764,0.1496718228,0.1249309704,0.1103095636,0.1018442288,0.2890721262,0.2313102931
475.9942627,0.01163742226,0.1570662707,0.1292213053,0.1127275974,0.1047076881,0.3018220961,0.2361017317
474.0137024,0.01226700004,0.1647093445,0.1335937381,0.1159571484,0.1077981964,0.3155572414,0.2404721528
471.9942017,0.01327346265,0.1722854972,0.1381526142,0.1185202599,0.1112722531,0.3268030584,0.2450011671
470.0120544,0.01437962148,0.1785526574,0.1421906501,0.1216661707,0.114445284,0.3381797373,0.249623239
467.9910583,0.01510082372,0.1860564649,0.1463600248,0.1246369779,0.1177031621,0.3514065444,0.2535461485
466.0073853,0.01607060619,0.1924629807,0.1506484598,0.1277339011,0.1206459701,0.3602174222,0.257912904
463.9847412,0.01733670011,0.1989826113,0.1544209421,0.1308400631,0.1238586009,0.3722742796,0.2624367774
461.9996033,0.01801650226,0.2047615945,0.1583591551,0.1341230124,0.1267740279,0.3831748366,0.2658469975
460.0135803,0.01909633167,0.2095236182,0.1611085981,0.1356933415,0.1289076358,0.3889738321,0.2705821693
457.9886475,0.0198144149,0.2151553482,0.1645566821,0.1386277378,0.1318775117,0.3967683911,0.2744493186
456.0011597,0.02039117552,0.2195635885,0.1679025292,0.1412796229,0.1348330081,0.4050447345,0.2772223055
454.01297,0.02097900026,0.2229965627,0.1704924703,0.1437874883,0.136906296,0.4116168618,0.2794374228
451.9857483,0.02163076587,0.2261893898,0.1726493388,0.1458230615,0.1390730292,0.4155470133,0.2826520801
449.9960632,0.02197609097,0.228584066,0.1748815477,0.1478349566,0.1411815584,0.4192082584,0.2844990492
448.0055847,0.0222638119,0.2302097976,0.1768707782,0.1494921297,0.1430661678,0.4216471314,0.2863853276
446.0144348,0.02290561236,0.2317147404,0.1781678796,0.1510313749,0.1442960352,0.4219762087,0.2886132002
443.984314,0.023270851,0.2320217043,0.1792994291,0.1527862549,0.1459325105,0.4230740368,0.2894466221
441.9916382,0.02323761396,0.2324061245,0.1804673821,0.1544551402,0.147258386,0.4226664305,0.2901571691
439.9982605,0.02367100306,0.2319293767,0.1807137728,0.1552023888,0.1482086331,0.4191036522,0.2915453911
438.0041504,0.02419855259,0.2308651358,0.1809153706,0.156597212,0.149234578,0.416831702,0.2918739021
436.0094299,0.02397653461,0.2291563004,0.1806637347,0.1574485302,0.1500310898,0.4124922752,0.2911458015
434.013916,0.02422671579,0.2264915109,0.1801881641,0.1579555422,0.1500749439,0.4067853689,0.2905080318
432.0177917,0.02432728931,0.2235047519,0.1791456044,0.1584558636,0.1504148245,0.4008261561,0.2900518477
429.9824829,0.02437821403,0.2195958197,0.178096965,0.1583938599,0.1501167417,0.3935000598,0.2885227501
427.9848328,0.02416562848,0.2157580853,0.1767579019,0.1587337852,0.1502473354,0.3861536086,0.2867365777
425.9865723,0.02455460839,0.2118671536,0.1750615239,0.1585742533,0.1497721225,0.3778833747,0.285295397
423.9875183,0.02472575754,0.2075815499,0.1732341945,0.158095926,0.1487255841,0.3683050573,0.2840292156
421.987854,0.02463651635,0.203306511,0.1715768576,0.1580210477,0.1485103965,0.361507833,0.2821424305
419.9874573,0.0246709846,0.1990213394,0.1694863737,0.157172069,0.1471842676,0.3515511751,0.2809940875
417.9863892,0.02492806315,0.193799451,0.1673380435,0.1565220058,0.1458836198,0.3442565203,0.2790313065
415.9846497,0.02505427413,0.1894120574,0.165331021,0.1555825621,0.1452050209,0.3367628455,0.2768241763
413.9822693,0.02443996258,0.1864573658,0.1631274968,0.1548531204,0.1439865828,0.3306210935,0.2753564715
412.0176697,0.02428893559,0.1833522022,0.1617717594,0.1541785002,0.1432266235,0.3273245692,0.2733164132
410.0139771,0.0244187396,0.181888327,0.1603261977,0.1531566232,0.1418561786,0.3239687681,0.2727487385
408.0095215,0.02424828522,0.1814609915,0.1597983986,0.1527928859,0.1412734687,0.3246820569,0.2716622055
406.004425,0.0238665808,0.1818487495,0.1594200432,0.1522766799,0.1405545175,0.32893911,0.2717779577
403.9987183,0.02365353517,0.1863378137,0.1602490693,0.1514487565,0.1401870549,0.3370893896,0.2741260827
401.9923096,0.02367499284,0.1937788576,0.1626340747,0.1521781832,0.140965268,0.3529418111,0.2762246132
399.98526,0.02357847989,0.204709217,0.1663887501,0.1531794965,0.1421908289,0.3758318424,0.2801214159
398.0162048,0.02353267744,0.2204532176,0.1732155681,0.1547962576,0.1448523849,0.4057236016,0.2861801088
396.0078125,0.02322655544,0.2393316031,0.1816303879,0.1577053815,0.1484845877,0.4527600706,0.2941032052
393.9988403,0.02379788645,0.2605926394,0.1899602115,0.1600479633,0.1515384167,0.4915049374,0.3047919273
391.9892273,0.02443352714,0.2848141789,0.198617056,0.1636740863,0.1565034091,0.5348818302,0.316472441
390.0176392,0.02451097593,0.3108356893,0.2100974321,0.1679381877,0.1616656035,0.5877897739,0.3259808421
388.0067749,0.02519582771,0.3406753242,0.2241496444,0.1731543094,0.1680217981,0.64842695,0.3385910988
385.9952087,0.02618184313,0.3770748377,0.2384057492,0.1793328375,0.1764850318,0.7269381881,0.3570505679
383.9830627,0.02698498592,0.4183460176,0.2562351227,0.1863124371,0.1852877289,0.7987940907,0.3730645776
382.0090332,0.02857295983,0.4631127417,0.2764185965,0.1950929463,0.1955337077,0.8842728138,0.3927134871
379.995636,0.03006127663,0.5063840747,0.297149688,0.2021847963,0.2057237327,0.9748007059,0.4148022234
377.9816589,0.03110390343,0.5460223556,0.3131454885,0.209416911,0.2146794051,1.042438388,0.4339267612
376.0057983,0.03315168992,0.5891783237,0.3339169025,0.2174359709,0.2248003781,1.134080887,0.451782614
373.9905701,0.03428246826,0.6361427903,0.3547610044,0.2275032848,0.236258015,1.211770296,0.4728020132
