t;x;y;luma;
0.000;254.2;-427.3;50.8
0.033;254.2;-427.3;53.7
0.067;254.2;-427.3;54.4
0.100;254.2;-427.3;54.9
0.133;254.2;-427.3;51.8
0.167;254.2;-427.3;45.7
0.200;254.2;-427.3;39.8
0.233;254.2;-427.3;34.0
0.267;254.2;-427.3;28.0
0.300;254.2;-427.3;24.0
0.333;254.2;-427.3;21.8
0.367;254.2;-427.3;25.3
0.400;254.2;-427.3;29.1
0.433;254.2;-427.3;33.2
0.467;254.2;-427.3;39.8
0.500;254.2;-427.3;45.5
0.533;254.2;-427.3;50.8
0.567;254.2;-427.3;53.8
0.600;254.2;-427.3;55.8
0.633;254.2;-427.3;54.7
0.667;254.2;-427.3;53.0
0.700;254.2;-427.3;46.1
0.733;254.2;-427.3;41.4
0.767;254.2;-427.3;35.6
0.800;254.2;-427.3;28.7
0.833;254.2;-427.3;25.8
0.867;254.2;-427.3;22.9
0.900;254.2;-427.3;24.7
0.933;254.2;-427.3;30.0
0.967;254.2;-427.3;36.7
1.000;254.2;-427.3;43.6
1.033;254.2;-427.3;48.7
1.067;254.2;-427.3;52.2
1.100;254.2;-427.3;55.9
1.133;254.2;-427.3;56.1
1.167;254.2;-427.3;53.8
1.200;254.2;-427.3;46.5
1.233;254.2;-427.3;39.3
1.267;254.2;-427.3;31.0
1.300;254.2;-427.3;27.0
1.333;254.2;-427.3;23.5
1.367;254.2;-427.3;24.7
1.400;254.2;-427.3;26.7
1.433;254.2;-427.3;33.4
1.467;254.2;-427.3;41.8
1.500;254.2;-427.3;48.2
1.533;254.2;-427.3;53.8
1.567;254.2;-427.3;55.8
1.600;254.2;-427.3;58.1
1.633;254.2;-427.3;55.4
1.667;254.2;-427.3;49.3
1.700;254.2;-427.3;42.8
1.733;254.2;-427.3;36.8
1.767;254.2;-427.3;30.3
1.800;254.2;-427.3;24.0
1.833;254.2;-427.3;23.5
1.867;254.2;-427.3;23.5
1.900;254.2;-427.3;28.7
1.933;254.2;-427.3;32.7
1.967;254.2;-427.3;41.2
2.000;254.2;-427.3;48.8
2.033;254.2;-427.3;51.4
2.067;254.2;-427.3;54.0
2.100;254.2;-427.3;55.5
2.133;254.2;-427.3;53.5
2.167;254.2;-427.3;48.4
2.200;254.2;-427.3;42.0
2.233;254.2;-427.3;33.4
2.267;254.2;-427.3;27.5
2.300;254.2;-427.3;23.8
2.333;254.2;-427.3;22.7
2.367;254.2;-427.3;26.7
2.400;254.2;-427.3;31.7
2.433;254.2;-427.3;40.4
2.467;254.2;-427.3;48.8
2.500;254.2;-427.3;56.0
2.533;254.2;-427.3;58.2
2.567;254.2;-427.3;55.6
2.600;254.2;-427.3;52.0
2.633;254.2;-427.3;46.3
2.667;254.2;-427.3;40.1
2.700;254.2;-427.3;32.0
2.733;254.2;-427.3;26.7
2.767;254.2;-427.3;23.8
2.800;254.2;-427.3;23.5
2.833;254.2;-427.3;30.5
2.867;254.2;-427.3;36.5
2.900;254.2;-427.3;45.5
2.933;254.2;-427.3;53.0
2.967;254.2;-427.3;56.5
3.000;254.2;-427.3;56.7
3.033;254.2;-427.3;56.0
3.067;254.2;-427.3;52.2
3.100;254.2;-427.3;47.2
3.133;254.2;-427.3;39.0
3.167;254.2;-427.3;32.3
3.200;254.2;-427.3;26.1
3.233;254.2;-427.3;23.7
3.267;254.2;-427.3;23.7
3.300;254.2;-427.3;27.0
3.333;254.2;-427.3;42.3
3.367;254.2;-427.3;42.3
3.400;254.2;-427.3;49.7
3.433;254.2;-427.3;54.3
3.467;254.2;-427.3;55.7
3.500;254.2;-427.3;55.4
3.533;254.2;-427.3;52.5
3.567;254.2;-427.3;47.1
3.600;254.2;-427.3;40.5
3.633;254.2;-427.3;33.4
3.667;254.2;-427.3;27.7
3.700;254.2;-427.3;23.8
3.733;254.2;-427.3;22.5
3.767;254.2;-427.3;25.4
3.800;254.2;-427.3;29.3
3.833;254.2;-427.3;37.3
3.867;254.2;-427.3;45.7
3.900;254.2;-427.3;49.9
3.933;254.2;-427.3;52.9
3.967;254.2;-427.3;54.7
4.000;254.2;-427.3;55.2
4.033;254.2;-427.3;52.6
4.067;254.2;-427.3;49.4
4.100;254.2;-427.3;44.0
4.133;254.2;-427.3;37.0
4.167;254.2;-427.3;29.6
4.200;254.2;-427.3;27.1
4.233;254.2;-427.3;23.2
4.267;254.2;-427.3;23.2
4.300;254.2;-427.3;27.1
4.333;254.2;-427.3;32.4
4.367;254.2;-427.3;41.4
4.400;254.2;-427.3;47.7
4.433;254.2;-427.3;50.8
4.467;254.2;-427.3;54.3
4.500;254.2;-427.3;54.8
4.533;254.2;-427.3;55.6
4.567;254.2;-427.3;51.6
4.600;254.2;-427.3;45.9
4.633;254.2;-427.3;38.9
4.667;254.2;-427.3;32.1
4.700;254.2;-427.3;27.9
4.733;254.2;-427.3;23.4
4.767;254.2;-427.3;23.4
4.800;254.2;-427.3;24.4
4.833;254.2;-427.3;31.8
4.867;254.2;-427.3;39.2
4.900;254.2;-427.3;46.9
4.933;254.2;-427.3;54.4
4.967;254.2;-427.3;55.3
5.000;254.2;-427.3;56.2
5.033;254.2;-427.3;55.4
5.067;254.2;-427.3;53.1
5.100;254.2;-427.3;46.5
5.133;254.2;-427.3;40.1
5.167;254.2;-427.3;33.0
5.200;254.2;-427.3;26.0
5.233;254.2;-427.3;22.7
5.267;254.2;-427.3;21.8
5.300;254.2;-427.3;26.3
5.333;254.2;-427.3;30.7
5.367;254.2;-427.3;39.6
5.400;254.2;-427.3;47.9
5.433;254.2;-427.3;51.6
